"a" "b" "c" "id"
"1" 0.27621 -2.73099 0 1
"2" 0.31521 -2.88989 0 2
"3" 0.36868 -0.32641 0 3
"4" 0.39917 -0.90949 0 4
"5" 0.41902 -1.49854 0 5
"6" 0.42114 -2.5669 0 6
"7" 0.42704 -1.82726 0 7
"8" 0.43371 -0.42921 0 8
"9" 0.4435 -0.57695 0 9
"10" 0.44921 -1.18822 0 10
"11" 0.45714 -1.30406 0 11
"12" 0.45933 -1.89727 0 12
"13" 0.46458 -2.36186 0 13
"14" 0.48124 -0.08887 0 14
"15" 0.50399 0.44637 0 15
"16" 0.50966 -1.03287 0 16
"17" 0.51206 -1.42971 0 17
"18" 0.51303 -0.91899 0 18
"19" 0.51767 -2.58684 0 19
"20" 0.52092 -0.22859 0 20
"21" 0.53723 -1.60049 0 21
"22" 0.54533 -0.34476 0 22
"23" 0.55066 0.11062 0 23
"24" 0.55128 0.32415 0 24
"25" 0.56093 1.52685 0 25
"26" 0.56571 -2.11435 0 26
"27" 0.56614 -1.80035 0 27
"28" 0.57454 -0.0133 0 28
"29" 0.57704 -1.04392 0 29
"30" 0.587 0.00579 0 30
"31" 0.58803 -1.64512 0 31
"32" 0.58856 0.40038 0 32
"33" 0.59184 0.07449 0 33
"34" 0.60385 1.7952 0 34
"35" 0.60474 -0.11779 0 35
"36" 0.6055 -1.83197 0 36
"37" 0.60756 -0.94448 0 37
"38" 0.60915 1.08586 0 38
"39" 0.61182 -1.46896 0 39
"40" 0.61812 -0.14342 0 40
"41" 0.62357 -1.05064 0 41
"42" 0.62373 -0.48631 0 42
"43" 0.6246 1.37829 0 43
"44" 0.62559 0.48661 0 44
"45" 0.62965 0.51225 0 45
"46" 0.62992 0.10546 0 46
"47" 0.63619 -0.75896 0 47
"48" 0.63687 -1.48202 0 48
"49" 0.63809 -2.12494 0 49
"50" 0.64036 0.57166 0 50
"51" 0.64224 2.42835 0 51
"52" 0.64527 1.25664 0 52
"53" 0.64544 -0.9772 0 53
"54" 0.6481 -0.79157 0 54
"55" 0.65132 0.77761 0 55
"56" 0.65709 1.28386 0 56
"57" 0.65772 -0.4143 0 57
"58" 0.65932 0.98127 0 58
"59" 0.66162 -0.45231 0 59
"60" 0.66266 -0.64716 0 60
"61" 0.6632 3.27694 0 61
"62" 0.66388 0.53317 0 62
"63" 0.66677 -1.83221 0 63
"64" 0.67214 0.6722 0 64
"65" 0.67379 0.01871 0 65
"66" 0.67432 -0.9465 0 66
"67" 0.68085 -0.80576 0 67
"68" 0.68469 0.84975 0 68
"69" 0.68497 -1.97243 0 69
"70" 0.68864 -0.71928 0 70
"71" 0.69299 -0.09649 0 71
"72" 0.69318 -2.09397 0 72
"73" 0.69357 0.32515 0 73
"74" 0.69613 -2.08616 0 74
"75" 0.69781 -0.56933 0 75
"76" 0.70087 -0.182 0 76
"77" 0.70159 -0.28338 0 77
"78" 0.70196 -1.22521 0 78
"79" 0.70331 -0.74797 0 79
"80" 0.70493 0.35048 0 80
"81" 0.70506 0.07364 0 81
"82" 0.7098 -0.06652 0 82
"83" 0.71143 0.73053 0 83
"84" 0.71297 -0.19355 0 84
"85" 0.71446 0.2614 0 85
"86" 0.71624 -0.85472 0 86
"87" 0.71702 -0.97729 0 87
"88" 0.71816 -0.48631 0 88
"89" 0.72005 1.18658 0 89
"90" 0.72183 0.7104 0 90
"91" 0.72399 1.04983 0 91
"92" 0.72422 0.6696 0 92
"93" 0.72437 -0.27418 0 93
"94" 0.72443 -1.24247 0 94
"95" 0.72469 -0.17629 0 95
"96" 0.72897 0.49653 0 96
"97" 0.7312 0.01973 0 97
"98" 0.73473 0.02975 0 98
"99" 0.73552 1.58866 0 99
"100" 0.73765 1.3738 0 100
"101" 0.73928 -0.57017 0 101
"102" 0.73997 0.48416 0 102
"103" 0.74216 -3.10639 0 103
"104" 0.74246 1.05754 0 104
"105" 0.7432 -1.52152 0 105
"106" 0.74427 0.35068 0 106
"107" 0.74533 0.96403 0 107
"108" 0.74754 0.4721 0 108
"109" 0.74786 1.18269 0 109
"110" 0.74923 0.43769 0 110
"111" 0.74947 -1.28217 0 111
"112" 0.74991 -1.30908 0 112
"113" 0.75124 -1.13941 0 113
"114" 0.75422 -0.43966 0 114
"115" 0.75585 -0.31227 0 115
"116" 0.75658 -1.56611 0 116
"117" 0.75912 -0.98607 0 117
"118" 0.75942 -0.73663 0 118
"119" 0.75986 0.04122 0 119
"120" 0.76083 -1.77462 0 120
"121" 0.76131 0.21858 0 121
"122" 0.76203 -1.16929 0 122
"123" 0.76285 -0.73326 0 123
"124" 0.76542 -0.82981 0 124
"125" 0.76593 1.6572 0 125
"126" 0.76702 -0.70248 0 126
"127" 0.769 -0.79335 0 127
"128" 0.77192 0.30298 0 128
"129" 0.77418 0.00058 0 129
"130" 0.77429 0.36753 0 130
"131" 0.77577 0.93617 0 131
"132" 0.77866 -1.39095 0 132
"133" 0.78009 -0.58049 0 133
"134" 0.78011 1.1014 0 134
"135" 0.78117 -1.63424 0 135
"136" 0.786 1.60953 0 136
"137" 0.78709 0.95542 0 137
"138" 0.78871 -0.65852 0 138
"139" 0.79364 -1.71372 0 139
"140" 0.79511 -0.78607 0 140
"141" 0.79737 0.35898 0 141
"142" 0.79737 -0.36486 0 142
"143" 0.79803 2.27147 0 143
"144" 0.79842 -0.8955 0 144
"145" 0.80137 -1.97308 0 145
"146" 0.8025 -0.45347 0 146
"147" 0.80466 1.27389 0 147
"148" 0.81223 -0.29205 0 148
"149" 0.81326 -0.74667 0 149
"150" 0.81486 1.02408 0 150
"151" 0.81711 -1.87809 0 151
"152" 0.82071 -0.46263 0 152
"153" 0.82116 -0.68807 0 153
"154" 0.82231 0.40968 0 154
"155" 0.8236 1.49731 0 155
"156" 0.82911 0.37898 0 156
"157" 0.82948 0.21244 0 157
"158" 0.82971 0.18114 0 158
"159" 0.83438 -0.33536 0 159
"160" 0.83468 -0.09928 0 160
"161" 0.83635 -0.89151 0 161
"162" 0.83685 0.30417 0 162
"163" 0.83775 -1.04249 0 163
"164" 0.83892 0.18839 0 164
"165" 0.84059 0.32119 0 165
"166" 0.84337 -0.06542 0 166
"167" 0.84489 -0.95205 0 167
"168" 0.84586 -1.30147 0 168
"169" 0.8464 -1.46169 0 169
"170" 0.84713 -0.04828 0 170
"171" 0.84754 -1.00585 0 171
"172" 0.8497 -0.48481 0 172
"173" 0.85058 -1.47124 0 173
"174" 0.85276 0.587 0 174
"175" 0.85321 -0.96019 0 175
"176" 0.85539 1.45271 0 176
"177" 0.85605 -0.19271 0 177
"178" 0.85609 0.07259 0 178
"179" 0.85803 -0.93979 0 179
"180" 0.85915 0.2288 0 180
"181" 0.86197 2.00798 0 181
"182" 0.86394 1.07351 0 182
"183" 0.86528 -0.03711 0 183
"184" 0.86742 0.20412 0 184
"185" 0.86752 -0.75675 0 185
"186" 0.86916 -0.98294 0 186
"187" 0.87243 -0.54028 0 187
"188" 0.87365 -0.62032 0 188
"189" 0.87368 -1.32539 0 189
"190" 0.87616 -0.25631 0 190
"191" 0.87712 -0.60972 0 191
"192" 0.87881 -0.96 0 192
"193" 0.87958 0.65048 0 193
"194" 0.8841 0.93138 0 194
"195" 0.88624 -0.51515 0 195
"196" 0.88887 2.03151 0 196
"197" 0.88994 -0.77792 0 197
"198" 0.89007 -0.57313 0 198
"199" 0.89045 0.48211 0 199
"200" 0.89184 -0.99964 0 200
"201" 0.89248 -0.09974 0 201
"202" 0.89303 0.30748 0 202
"203" 0.8936 -1.36773 0 203
"204" 0.89363 -0.30222 0 204
"205" 0.89472 -2.17084 0 205
"206" 0.89557 0.19336 0 206
"207" 0.89593 -0.07816 0 207
"208" 0.89643 1.01783 0 208
"209" 0.89655 0.16676 0 209
"210" 0.90035 -0.98192 0 210
"211" 0.90199 0.61321 0 211
"212" 0.90202 -1.36332 0 212
"213" 0.90296 -1.67133 0 213
"214" 0.90388 -0.71442 0 214
"215" 0.90539 1.17711 0 215
"216" 0.9054 -0.04697 0 216
"217" 0.90807 0.07159 0 217
"218" 0.91082 1.0338 0 218
"219" 0.91167 -0.07673 0 219
"220" 0.91938 1.4431 0 220
"221" 0.92156 -1.22073 0 221
"222" 0.92398 0.00489 0 222
"223" 0.92415 -1.14971 0 223
"224" 0.92455 -0.15825 0 224
"225" 0.92545 0.26424 0 225
"226" 0.92579 -0.00232 0 226
"227" 0.92631 -1.11267 0 227
"228" 0.92806 -0.20209 0 228
"229" 0.92809 0.94444 0 229
"230" 0.93082 0.43146 0 230
"231" 0.93129 -0.99881 0 231
"232" 0.93337 -0.13889 0 232
"233" 0.93594 -1.78402 0 233
"234" 0.93935 -0.88193 0 234
"235" 0.94138 -0.29044 0 235
"236" 0.94162 -0.13171 0 236
"237" 0.94315 0.02026 0 237
"238" 0.94557 -0.72835 0 238
"239" 0.94792 -0.40182 0 239
"240" 0.94863 0.34587 0 240
"241" 0.95018 -1.2415 0 241
"242" 0.95205 -0.77683 0 242
"243" 0.95207 0.03882 0 243
"244" 0.95241 1.32547 0 244
"245" 0.95241 -0.49909 0 245
"246" 0.95419 0.47516 0 246
"247" 0.95442 0.36283 0 247
"248" 0.95494 -0.76354 0 248
"249" 0.95625 0.35421 0 249
"250" 0.95995 0.08668 0 250
"251" 0.96169 -0.76368 0 251
"252" 0.96254 0.37065 0 252
"253" 0.96537 0.03035 0 253
"254" 0.96616 -0.63982 0 254
"255" 0.96734 -0.4165 0 255
"256" 0.96741 0.38768 0 256
"257" 0.96745 0.14018 0 257
"258" 0.96775 1.80375 0 258
"259" 0.96807 0.1413 0 259
"260" 0.97041 -0.88726 0 260
"261" 0.97084 0.27071 0 261
"262" 0.971 0.71983 0 262
"263" 0.97306 -1.10607 0 263
"264" 0.9744 -0.31101 0 264
"265" 0.97685 -0.45605 0 265
"266" 0.97715 1.673 0 266
"267" 0.97884 -0.63418 0 267
"268" 0.99224 -0.76807 0 268
"269" 0.99549 0.25055 0 269
"270" 0.99595 0.78885 0 270
"271" 0.9974 0.78775 0 271
"272" 0.99864 -1.05272 0 272
"273" 0.99891 0.41484 0 273
"274" 0.99894 -0.20765 0 274
"275" 0.99941 0.73197 0 275
"276" 1.00046 0.34671 0 276
"277" 1.00175 -1.11532 0 277
"278" 1.00446 -0.49727 0 278
"279" 1.00486 0.78504 0 279
"280" 1.00551 -0.7385 0 280
"281" 1.00653 0.32481 0 281
"282" 1.00694 -0.16275 0 282
"283" 1.00772 0.32676 0 283
"284" 1.00865 0.34393 0 284
"285" 1.00882 0.2724 0 285
"286" 1.01157 -0.22611 0 286
"287" 1.01245 1.38628 0 287
"288" 1.0125 -1.08034 0 288
"289" 1.0133 1.68658 0 289
"290" 1.01589 -0.30373 0 290
"291" 1.01972 0.88115 0 291
"292" 1.02047 -0.12497 0 292
"293" 1.02176 2.18266 0 293
"294" 1.02474 -0.17563 0 294
"295" 1.02485 -0.84906 0 295
"296" 1.02773 0.42744 0 296
"297" 1.02938 -0.60622 0 297
"298" 1.0299 1.66729 0 298
"299" 1.03204 0.31595 0 299
"300" 1.03429 0.19435 0 300
"301" 1.03482 -0.88051 0 301
"302" 1.03488 0.76953 0 302
"303" 1.03526 -1.04175 0 303
"304" 1.03646 1.10223 0 304
"305" 1.03709 -0.31363 0 305
"306" 1.03989 -0.28632 0 306
"307" 1.04257 0.26126 0 307
"308" 1.04316 1.36916 0 308
"309" 1.04388 -0.86963 0 309
"310" 1.04611 -0.28199 0 310
"311" 1.04639 -0.33288 0 311
"312" 1.04856 -0.54552 0 312
"313" 1.04906 1.06512 0 313
"314" 1.04974 -1.52361 0 314
"315" 1.05057 0.00721 0 315
